Index,Poster (Excel Formula),Chinese Title,English Title,Score,Categories,Region,Duration,Release Date,Poster URL,Local Poster Path
49,"=IMAGE(""https://p0.meituan.net/movie/2526f77c650bf7cf3d5ee2dccdeac332244951.jpg@464w_644h_1e_1c"")",本傑明·巴頓奇事,The Curious Case of Benjamin Button,8.9,劇情/愛情/奇幻,美國,166 分鐘,2008-12-25 上映,https://p0.meituan.net/movie/2526f77c650bf7cf3d5ee2dccdeac332244951.jpg@464w_644h_1e_1c,posters/49_本傑明·巴頓奇事.jpg
50,"=IMAGE(""https://p1.meituan.net/movie/96d98200d2afb4b87ff189f9c15b6545568339.jpg@464w_644h_1e_1c"")",倩女幽魂,A Chinese Ghost Story,8.9,愛情/奇幻/武俠/古裝,中國香港,98 分鐘,2011-04-30 上映,https://p1.meituan.net/movie/96d98200d2afb4b87ff189f9c15b6545568339.jpg@464w_644h_1e_1c,posters/50_倩女幽魂.jpg
51,"=IMAGE(""https://p1.meituan.net/movie/bb0eca029cd25329776a4549b3fbe262924727.jpg@464w_644h_1e_1c"")",哈利·波特與死亡聖器（下）,Harry Potter and the Deathly Hallows: Part 2,8.9,劇情/懸疑/奇幻/冒險,英國、美國,130 分鐘,2011-08-04 上映,https://p1.meituan.net/movie/bb0eca029cd25329776a4549b3fbe262924727.jpg@464w_644h_1e_1c,posters/51_哈利·波特與死亡聖器（下）.jpg
52,"=IMAGE(""https://p1.meituan.net/movie/0b0d45b58946078dd24d4945dd6be3b51329411.jpg@464w_644h_1e_1c"")",甜蜜蜜,Comrades: Almost a Love Story,8.9,劇情/愛情,中國香港,118 分鐘,2015-02-13 上映,https://p1.meituan.net/movie/0b0d45b58946078dd24d4945dd6be3b51329411.jpg@464w_644h_1e_1c,posters/52_甜蜜蜜.jpg
53,"=IMAGE(""https://p0.meituan.net/movie/f7f4b4099773268f8290ed033f49dc01377512.jpg@464w_644h_1e_1c"")",蝙蝠俠：黑暗騎士崛起,The Dark Knight Rises,8.9,劇情/動作/科幻/驚悚/犯罪,美國、英國,165 分鐘,2012-08-27 上映,https://p0.meituan.net/movie/f7f4b4099773268f8290ed033f49dc01377512.jpg@464w_644h_1e_1c,posters/53_蝙蝠俠：黑暗騎士崛起.jpg
54,"=IMAGE(""https://p0.meituan.net/movie/34f9202c5e823f490ffec4c69d5d0028137395.jpg@464w_644h_1e_1c"")",鬼子來了,Devils on the Doorstep,8.8,劇情/戰爭,中國大陸,139 分鐘,2000-05-13 上映,https://p0.meituan.net/movie/34f9202c5e823f490ffec4c69d5d0028137395.jpg@464w_644h_1e_1c,posters/54_鬼子來了.jpg
55,"=IMAGE(""https://p1.meituan.net/movie/70a574550c4bb928dcc6a40641294785150838.jpg@464w_644h_1e_1c"")",無敵破壞王,Wreck-It Ralph,8.8,喜劇/動畫/奇幻/冒險,美國,101 分鐘,2012-11-06 上映,https://p1.meituan.net/movie/70a574550c4bb928dcc6a40641294785150838.jpg@464w_644h_1e_1c,posters/55_無敵破壞王.jpg
56,"=IMAGE(""https://p0.meituan.net/movie/83df1c541e6e0696e67ce7da81cb1e1a251258.jpg@464w_644h_1e_1c"")",致命魔術,The Prestige,8.8,劇情/懸疑/驚悚,美國、英國,130 分鐘,2006-10-17 上映,https://p0.meituan.net/movie/83df1c541e6e0696e67ce7da81cb1e1a251258.jpg@464w_644h_1e_1c,posters/56_致命魔術.jpg
57,"=IMAGE(""https://p0.meituan.net/movie/85c2bfba6025bfbfb53291ae5924c215308805.jpg@464w_644h_1e_1c"")",神偷奶爸,Despicable Me,8.8,喜劇/動畫/冒險,美國、法國,95 分鐘,2010-06-20 上映,https://p0.meituan.net/movie/85c2bfba6025bfbfb53291ae5924c215308805.jpg@464w_644h_1e_1c,posters/57_神偷奶爸.jpg
58,"=IMAGE(""https://p0.meituan.net/movie/e71affe126eeb4f8bfcc738cbddeebc8288766.jpg@464w_644h_1e_1c"")",斷背山,Brokeback Mountain,8.8,劇情/愛情/家庭,美國、加拿大,134 分鐘,2005-09-02 上映,https://p0.meituan.net/movie/e71affe126eeb4f8bfcc738cbddeebc8288766.jpg@464w_644h_1e_1c,posters/58_斷背山.jpg
